inventory_id,era,canonical_name,aliases,item_type,product_family,classification,current_status,completion_band,backend,backend_ids,integration_state,intended_price,commercial_model,free_trial,audience,lineage,dependencies,source_docs,source_drive_ids,known_risks,contradictions,current_url
APN-PROD-0001,ADR,Australian Data Removal — Core Service Ladder,Australian Data Removal | ADR | ausdataremoval.com.au | the cashflow engine,service,ADR,ACTIVE PRODUCT,PARTIALLY DEPLOYED,41-60 Demonstration,external,,NO BACKEND REQUIRED (public site),"DIY $75 | Portfolio Map CURRENT 10 Jun | LOCKED-LIVE || Founding $1,200 | Portfolio Map | LOCKED-LIVE || Audit $200 | older docs | RETIRED || Removal $999/$1,000 | older | RETIRED || Guardian $1,500/yr | older | RETIRED || Investigation $3,000 | older | RETIRED || Strategic $25,000/yr | older | RETIRED",service ladder + subscription,n/a,AU/NZ individuals post-breach/doxxing/ID-theft; later B2B; vulnerable groups,ADR,Vercel; Stripe; Paperform; Airtable; Supabase; Next.js 14,ADR_Business_Breakdown.md; APN — Master Business Plan (Living Doc) v1; APN-PORTFOLIO-MAP-CURRENT.md; DWD2.0.docx,1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk; 1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc; 1B9P3VZACABcKenc9zPdYerQdOEGrUhJNcEwjQob3kEI; 1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,Stripe/Paperform/Airtable flow never tested end-to-end; ~30 cases/mo solo cap; legal pages/SEO missing,price ladders conflict (CON-001); entity ABN vs ACN (CON-005); payments test-mode (CON-010),
APN-PROD-0002,ADR,ADR Founding Members Program,Founding Members | 500-member cap,offer,ADR,ACTIVE PRODUCT,PARTIALLY DEPLOYED,41-60 Demonstration,external,,NO BACKEND REQUIRED,"$700 | ADR_Business_Breakdown Mar | HISTORICAL || $1,200 | Portfolio Map Jun | LOCKED-LIVE",one-time membership,n/a,Early ADR supporters,ADR,Stripe,ADR_Business_Breakdown.md; APN — Master Business Plan (Living Doc) v1; APN-PORTFOLIO-MAP-CURRENT.md,1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk; 1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc; 1B9P3VZACABcKenc9zPdYerQdOEGrUhJNcEwjQob3kEI,'annual scan for life' = compounding unpaid obligation; unclear renewal revenue,"price $700 vs $1,200 (CON-002)",
APN-PROD-0003,ADR,ADR DIY Removal Kit,DIY Kit | DIY Roadmap,digital_product,ADR,SALEABLE STARTER,PARTIALLY DEPLOYED,41-60 Demonstration,external,,NO BACKEND REQUIRED,$75 | Portfolio Map | LOCKED-LIVE || $79 | older | RETIRED,one-off digital,n/a,Price-sensitive DIY self-removers,ADR,Stripe; Make.com (designed),DWD2.0.docx; ADR_Business_Breakdown.md; APN — Master Business Plan (Living Doc) v1,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV; 1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk; 1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,automated digital delivery not built (Make.com flow designed only),price $75 vs $79 (CON-003),
APN-PROD-0004,ADR,ExposureRadar / OSINT Scanner (ADR-era),ExposureRadar | later TRACE/DataTrace,tool,ADR,REQUIRES REVIEW,UNVERIFIED,21-40 Prototype,external,,UNKNOWN,Free | funnel | n/a,free funnel,n/a,High-intent AU search traffic,ADR,OSINT/breach sources,ADR_Business_Breakdown.md,1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk,build status unclear / not confirmed deployed,,
APN-PROD-0005,ADR,Sovereign Tank Lab (early product line),Core Patch | Protocol Alpha | Sentinel Badge,product_line,ADR,REFERENCE,RETIRED,0-20 Concept shell,none,,NO BACKEND REQUIRED,"Core Patch $1,950 | ADR_Business_Breakdown | HISTORICAL || Protocol Alpha $350 | HISTORICAL || Sentinel Badge $95 | HISTORICAL",one-off,n/a,Early adopters,ADR,,ADR_Business_Breakdown.md,1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk,superseded; distinct from later Sovereign Tank game,,
APN-PROD-0006,DWD,darkwebscanner.com.au,darkwebscanner.com.au | The Spoke,product_surface,DWD,REQUIRES REVIEW,PARTIALLY DEPLOYED,21-40 Prototype,external,,WRONG BACKEND / DISCONNECTED,Free scan -> ADR ladder | DWD2.0 | n/a,free scan funnel,free scan,High-intent AU search traffic,ADR; DWD,Next.js; HIBP API; Three.js; Supabase (robinson-tech-platform); Stripe (test); Claude 3.5,DWD2.0.docx,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,repo COMPROMISED (wallet-stealer) and quarantined read-only; Stripe test mode; leaky funnel,repo compromised (CON handled in Codex lane),
APN-PROD-0007,DWD,Dark Web Directory (The Hub),darkwebdirectory.com.au | The Hub | Dark Web Directory,product_surface,DWD,MERGE SOURCE,PARTIALLY DEPLOYED,41-60 Demonstration,self,SUP-PROJ-SYDNEY,CONNECTED BUT INCOMPLETE,Free | DWD2.0 | n/a,free SEO funnel,free,AU public researching breaches/privacy,DWD; APN,Next.js; Supabase,DWD2.0.docx; APN-NETWORK-MAP-v1.md; APN — Master Business Plan (Living Doc) v1,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV; 1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0; 1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,content assembly + dedup/verify pipeline,resource count varies (CON-007),
APN-PROD-0008,DWD,Business-in-a-Box + Domain Portfolio,B2B2C white-label | Domain Portfolio | ~200-216 domains,offer,DWD,MARKETPLACE ASSET,PLANNED,21-40 Prototype,self,SUP-TABLE-DOMAINS,"CONFIGURED, NOT VERIFIED",Package pricing | DWD2.0 | UNSTATED,package + domain sale,n/a,SMB/agencies wanting white-label scanners,DWD,Stripe; Next.js landers; Supabase (domains table),DWD2.0.docx; APN-NETWORK-MAP-v1.md,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV; 1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0,~167 usable of 216; some quarantined (stalkerware line); ~29 for charity; off-brand domains held for sale,,
APN-PROD-0009,DWD,Hugo AI (concierge / HITL),Hugo | 'Your sentinel in digital waters',ai_layer,DWD,CAPABILITY,UNVERIFIED,21-40 Prototype,external,,DEMONSTRATION ONLY,Bundled into premium tiers | DWD2.0 | n/a,bundled premium,n/a,Premium/retainer customers,DWD; APN,Claude 3.5 Sonnet,DWD2.0.docx; APN — Master Business Plan (Living Doc) v1,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV; 1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,'live in code' vs 'prototype in progress' (docs disagree),maturity conflict (CON-013),
APN-PROD-0010,APN,APN Hub / Core (front door),Australian Privacy Network | APN umbrella | front door,platform,APN,PUBLIC FRONT DOOR,PARTIALLY DEPLOYED,41-60 Demonstration,self,SUP-PROJ-SYDNEY,CONNECTED BUT INCOMPLETE,n/a | umbrella | n/a,umbrella,n/a,AU public + businesses + startups,ADR; DWD; APN,Next.js; Vercel; Cloudflare; Stripe; Supabase; Claude; VentraIP DNS,APN-NETWORK-MAP-v1.md; APN-Project-Overview.md; APN-PORTFOLIO-MAP-CURRENT.md,1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0; 16xmNJ3epeKHI4o0MQT31XyEgE_KyEwriQM1hMwVI2Yw; 1B9P3VZACABcKenc9zPdYerQdOEGrUhJNcEwjQob3kEI,two competing structural framings; front-end in build,,
