product_id,canonical_name,source_doc,drive_id,evidence_label
APN-PROD-0001,Australian Data Removal — Core Service Ladder,ADR_Business_Breakdown.md,1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk,DIRECT
APN-PROD-0001,Australian Data Removal — Core Service Ladder,APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,DIRECT
APN-PROD-0001,Australian Data Removal — Core Service Ladder,APN-PORTFOLIO-MAP-CURRENT.md,1B9P3VZACABcKenc9zPdYerQdOEGrUhJNcEwjQob3kEI,DIRECT
APN-PROD-0001,Australian Data Removal — Core Service Ladder,DWD2.0.docx,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,DIRECT
APN-PROD-0002,ADR Founding Members Program,ADR_Business_Breakdown.md,1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk,DIRECT
APN-PROD-0002,ADR Founding Members Program,APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,DIRECT
APN-PROD-0002,ADR Founding Members Program,APN-PORTFOLIO-MAP-CURRENT.md,1B9P3VZACABcKenc9zPdYerQdOEGrUhJNcEwjQob3kEI,DIRECT
APN-PROD-0003,ADR DIY Removal Kit,DWD2.0.docx,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,DIRECT
APN-PROD-0003,ADR DIY Removal Kit,ADR_Business_Breakdown.md,1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk,DIRECT
APN-PROD-0003,ADR DIY Removal Kit,APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,DIRECT
APN-PROD-0004,ExposureRadar / OSINT Scanner (ADR-era),ADR_Business_Breakdown.md,1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk,DIRECT
APN-PROD-0005,Sovereign Tank Lab (early product line),ADR_Business_Breakdown.md,1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk,DIRECT
APN-PROD-0006,darkwebscanner.com.au,DWD2.0.docx,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,DIRECT
APN-PROD-0007,Dark Web Directory (The Hub),DWD2.0.docx,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,DIRECT
APN-PROD-0007,Dark Web Directory (The Hub),APN-NETWORK-MAP-v1.md,1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0,DIRECT
APN-PROD-0007,Dark Web Directory (The Hub),APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,DIRECT
APN-PROD-0008,Business-in-a-Box + Domain Portfolio,DWD2.0.docx,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,DIRECT
APN-PROD-0008,Business-in-a-Box + Domain Portfolio,APN-NETWORK-MAP-v1.md,1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0,DIRECT
APN-PROD-0009,Hugo AI (concierge / HITL),DWD2.0.docx,1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,DIRECT
APN-PROD-0009,Hugo AI (concierge / HITL),APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,DIRECT
APN-PROD-0010,APN Hub / Core (front door),APN-NETWORK-MAP-v1.md,1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0,DIRECT
APN-PROD-0010,APN Hub / Core (front door),APN-Project-Overview.md,16xmNJ3epeKHI4o0MQT31XyEgE_KyEwriQM1hMwVI2Yw,DIRECT
APN-PROD-0010,APN Hub / Core (front door),APN-PORTFOLIO-MAP-CURRENT.md,1B9P3VZACABcKenc9zPdYerQdOEGrUhJNcEwjQob3kEI,DIRECT
APN-PROD-0011,APN Free Resource Hub + Verified Directory,APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,DIRECT
APN-PROD-0011,APN Free Resource Hub + Verified Directory,APN-Project-Overview.md,16xmNJ3epeKHI4o0MQT31XyEgE_KyEwriQM1hMwVI2Yw,DIRECT
APN-PROD-0011,APN Free Resource Hub + Verified Directory,APN-NETWORK-MAP-v1.md,1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0,DIRECT
