finding_id,title,severity,affected_object,evidence,impact,likelihood,current_control,recommended_action,approval_required,status
FIND-001,Ledger TRUNCATE bypasses append-only,MEDIUM,public.apn_ledger_events,"LIVE-DB: service_role has TRUNCATE grant; BEFORE UPDATE/DELETE trigger does not fire on TRUNCATE","Entire ledger could be wiped with a service-role key, undetected by triggers",Low (needs service key),"apn_block_ledger_mutations blocks UPDATE/DELETE only","REVOKE TRUNCATE ON apn_ledger_events FROM service_role; optionally add a BEFORE TRUNCATE trigger",yes,OPEN
FIND-002,Dual ledger hash schemes collide,LOW,public.apn_ledger_events / domain-watch,"SRC: domain-watch computes per-machine hash but ledger_chain() BEFORE INSERT overwrites hash+prev_event_id","Per-machine hash never persists; misleading code; chain is actually single global",Certain,"Global chain trigger wins","Remove hashing from Edge Functions OR make trigger honour supplied hash; document single global chain + version field",yes,OPEN
FIND-003,Ledger chain head has no concurrency lock,MEDIUM,public.ledger_chain(),"SRC: reads head with no advisory lock; concurrent inserts can share prev_event_id","Fork/sibling entries under concurrent writes break linear-chain assumption",Low now / High at scale,"Low current insert rate","Take pg_advisory_xact_lock on a ledger key inside ledger_chain(), or serialize inserts",yes,OPEN
FIND-004,Ledger verification is APN-dependent and non-portable,HIGH,ledger + verifier fns,"LIVE-DB+SRC: payload hashed as payload::text (no canonical serialization); no hash-format version; verifier fns EXECUTE-granted to service_role only (not anon)","'Independently verifiable' / 'publicly verifiable' claims not currently supported",Certain,"None","Define canonical serialization + versioned hash spec + offline verifier; grant read fns to anon only when privacy-checked (Sovereignty PHASE 2)",yes,OPEN
FIND-005,Anon reads internal columns on resources,MEDIUM,public.resources,"LIVE-DB: anon SELECT grant on base table; RLS filters rows but all columns returned incl check_notes, verification_evidence, escalate_to_adr, source","Internal ops notes exposed publicly for published rows",Certain for published rows,"resource_register public-safe view exists but not used by anon","Switch public reads to resource_register view or restrict column grants",yes,OPEN
FIND-006,Edge Functions lack SSRF egress filtering,MEDIUM,link-audit / domain-watch,"SRC: fetch() with redirect:follow, no RFC1918/link-local/metadata block","Curated or redirecting URL could reach internal/metadata endpoints",Low (curated URLs),"URLs are admin/reviewed; Deno Deploy egress","Add egress allowlist; block RFC1918 + 169.254.0.0/16 + resolve-then-connect",yes,OPEN
FIND-007,pg_net installed in public schema,LOW,extension pg_net,"LIVE-DB: advisor extension_in_public","Namespace/security hygiene",n/a,"Advisor WARN only","Move pg_net to extensions schema via migration",yes,OPEN
FIND-008,Dual migration ownership / drift risk,MEDIUM,migrations,"LIVE-DB: 7 UUID-named (Lovable) migrations alongside named CLI/Claude migrations; UUID SQL unverified","Uncoordinated schema changes; reconciliation ambiguity",Medium,"Born-locked default privileges migration",Freeze independent Lovable migrations during reconciliation; diff live vs repo (Codex),yes,OPEN
FIND-009,Leftover anon SELECT grant on company_profile,LOW,public.company_profile,"LIVE-DB: anon/authenticated have SELECT grant but RLS deny-all masks it","No leak (RLS wins); ambiguous intent",n/a,"RLS deny-all","REVOKE SELECT ON company_profile FROM anon, authenticated",yes,OPEN
FIND-010,Service-role key stored in DB GUC,INFORMATIONAL,cron sovereign-domain-watch,"LIVE-DB: current_setting('app.settings.service_role_key')","Secret-at-rest in Postgres settings",n/a,"Standard Supabase cron pattern","Confirm not written to logs; consider Vault",no,OPEN
FIND-011,Unindexed ledger FK prev_event_id,LOW,public.apn_ledger_events,"LIVE-DB: advisor unindexed_foreign_keys","Slower chain traversal at scale",Low,"Small table today","CREATE INDEX on prev_event_id",yes,OPEN
FIND-012,Inactive project purpose unknown,DOCUMENTATION GAP,tyorcdwpwoxaqwsbgybm,"LIVE-DB: status INACTIVE; not inspectable without restore","Unknown data; cannot classify for retention/retirement",n/a,"Inactive","Confirm purpose with Chris before any retire; do NOT restore without approval",yes,OPEN
